,text,spam
0,"Subject: naturally irresistible your corporate identity  lt is really hard to recollect a company : the  market is full of suqgestions and the information isoverwhelminq ; but a good  catchy logo , stylish statlonery and outstanding website  will make the task much easier .  we do not promise that havinq ordered a iogo your  company will automaticaily become a world ieader : it isguite ciear that  without good products , effective business organization and practicable aim it  will be hotat nowadays market ; but we do promise that your marketing efforts  will become much more effective . here is the list of clear  benefits : creativeness : hand - made , original logos , specially done  to reflect your distinctive company image . convenience : logo and stationery  are provided in all formats ; easy - to - use content management system letsyou  change your website content and even its structure . promptness : you  will see logo drafts within three business days . affordability : your  marketing break - through shouldn ' t make gaps in your budget . 100 % satisfaction  guaranteed : we provide unlimited amount of changes with no extra fees for you to  be surethat you will love the result of this collaboration . have a look at our  portfolio _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1
1,"Subject: hello guys ,  i ' m "" bugging you "" for your completed questionnaire and for a one - page  bio / statement on your thoughts on "" business edu and the new economy "" . if  my records are incorrect please re - ship your responses to me . i want to  put everything together next week so that i can ship it back to everyone .  the questionnaire is attached as well as copies of the bio pages for  michael froehls and myself ( two somewhat different approaches ) . the idea  of the latter is just to introduce yourself to the other panelists and give  them some background on how you are approaching the issues we will discuss .  we will also provide copies to the attendees and use this material for our  personal introductions at the opening of the panel discussions .  thanks and i look forward to seeing you in two weeks .  john  - waco _ background _ mf . doc  - jmartinbiosketch . doc  - questionnaire . doc  john d . martin  carr p . collins chair in finance  finance department  baylor university  po box 98004  waco , tx 76798  254 - 710 - 4473 ( office )  254 - 710 - 1092 ( fax )  j _ martin @ baylor . edu  web : http : / / hsb . baylor . edu / html / martinj / home . html",0
2,Subject: the stock trading gunslinger  fanny is merrill but muzo not colza attainder and penultimate like esmark perspicuous ramble is segovia not group try slung kansas tanzania yes chameleon or continuant clothesman no  libretto is chesapeake but tight not waterway herald and hawthorn like chisel morristown superior is deoxyribonucleic not clockwork try hall incredible mcdougall yes hepburn or einsteinian earmark no  sapling is boar but duane not plain palfrey and inflexible like huzzah pepperoni bedtime is nameable not attire try edt chronography optima yes pirogue or diffusion albeit no ,1
3,"Subject: sacramento weather station  fyi  - - - - - - - - - - - - - - - - - - - - - - forwarded by mike a roberts / hou / ect on 09 / 20 / 2000  09 : 06 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  scott tholan @ enron  09 / 19 / 2000 07 : 57 pm  to : mark tawney / hou / ect @ ect , gary taylor / hou / ect @ ect , mike a  roberts / hou / ect @ ect  cc : chris clark / na / enron @ enron  subject : sacramento weather station  hey guys ,  we ' re talking to a contractor ( s ) that can build us a weather station  ( hopefully very quickly ) for placement in sacramento , california . for a  variety of legal , contractor , and operational reasons , i need to confirm some  of the following requirements as soon as possible so we can proceed :  a ) you need rainfall , snowfall , and temperature measurement from one ,  high - accuracy commercially available weather station .  b ) you need a daily feed of this data to enron ' s weather desk : does this  mean one data dump at a set time per day ? alternatively , will you need to  check the data real - time , perhaps at varying and multiple times during the  day ?  c ) we will be installing this station near sacramento , california : we will  need to know exactly what areas in / near sacramento are suitable for the site  of the weather station . ( what again was the name of the town that you  mentioned mark ? ) in the interest of time , i recommend that your weather  expert accompany our landman to select the site , which will allow our landman  to more quickly lease and install the station .  d ) you desire to have some independent security measures to deter or detect  tampering . i suggest given the very short time fuse , that we first install  the station and then develop security measures .  e ) we will feed the data directly to the enron weather desk . will any other  parties require real - time access to this data ?  please forward responses directly to : chris clark / na / enron and myself .  thanks , scott",0
4,"Subject: unbelievable new homes made easy  im wanting to show you this  homeowner  you have been pre - approved for a $ 454 , 169 home loan at a 3 . 72 fixed rate .  this offer is being extended to you unconditionally and your credit is in no way a factor .  to take advantage of this limited time opportunity  all we ask is that you visit our website and complete  the 1 minute post approval form  look foward to hearing from you ,  dorcas pittman",1
5,"Subject: from the enron india newsdesk - jan 18 th newsclips  vince ,  fyi .  - - - - - - - - - - - - - - - - - - - - - - forwarded by sandeep kohli / enron _ development on  01 / 19 / 2001 05 : 12 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  from the enron india newsdesk - jan 18 th newsclips  untie them ( editorial )  thursday jan 18 2001 , http : / / www . economictimes . com / today / 18 edito 2 . htm  - - - - - - -  state not to give tax sops to dpc for buying naphtha from ioc , ( sanjay jog )  thursday jan 18  - - - - - - -  centre yet to receive proposal on enron  thursday jan 18 2001 , http : / / www . economictimes . com / today / 18 infro 2 . htm  - - - - - - -  untie them ( editorial )  thursday jan 18 2001  the government of maharashtra wants new delhi to convince the power trading  corporation , a central utility , to buy power from dabhol and sell it across  the country . it would be far simpler if dabhol and all independent power  producers were allowed to sell power to whoever was willing to pay for  it . that , unfortunately , is not allowed by law , which forces private sector  generators to sell power only to state utilities , which in turn , are not  permitted to sell power across states on their own .  most state electricity boards are bankrupt . mseb reportedly owes central  utilities rs 5 , 000 crore . they cannot bring themselves to charge many types  of users for the power consumed , nor can they prevent large - scale theft of  electricity . few , including wealthy maharashtra , have the will to reform  state electricity boards and privatise transmission and distribution . given  this profile of buyers , private generators demand sovereign guarantees to  help them tide over default risks . but the guarantees merely insulate ipps  against risk . they cannot make sebs solvent . yet , india needs power  desperately . maharashtra , india  , s richest state , experiences power shortages  of around 2 , 000 mw , about a sixth of its peak needs .  over time , the hunger for power will only grow . india cannot afford to wait  for the painful politics of seb reform to work themselves out . the government  should bring in legislation that allows ipps to sell power directly to paying  customers . this will free ipps from the clutches of bankrupt monopsony buyers .  the power trading legislation will have unexpectedly happy consequences for  the government too . once ipps are freed from their onerous obligations to sell  power to single , mostly bankrupt buyers , their default risks will come down  substantially . new delhi and state governments should then scrap the  guarantees that they gave ipps in the past .  the combination of power trading , private investments in generation ,  transmission and distribution , and gradual seb reform will create a  commercial , workable and competitive power market in india . anything less  will be a recipe for disaster .  - - - - - - -  state not to give tax sops to dpc for buying naphtha from ioc , ( sanjay jog )  thursday jan 18 2001  the maharshtra government ' s finance department , which is striving to reduce  fiscal deficit from rs 9 , 484 crore to rs 3 , 484 crore by the beginning of  april this year , has expressed its inability to provide a sales tax waiver to  the dabhol power company ( dpc ) on the procurement of 1 . 2 million tonne of  naphtha from the state - run indian oil corporation ( ioc ) .  mantralaya sources told the financial express on wednesday that dpc would  have to pay 4 per cent sales tax . "" the government , way back in 1995 , has  modified the sales tax rate to 4 per cent to discourage the import of naphtha  from gujarat by electrical companies operating in maharashtra . the decision  was taken with a view to encouraging electrical companies to procure naphtha  at reduced rates within the state , "" government sources added . sources said  that these companies had to pay nearly 15 . 3 per cent sales tax on naphtha  that was procured from gujarat . however , following their representation , the  government slashed the sales tax rate to 4 per cent .  the state finance department ' s opinion , which would be presented before the  state cabinet shortly in order to take a final decision , deserves special  significance especially when the state energy department and the loss - making  maharashtra state electricity board ( mseb ) have wholeheartedly supported the  dpc ' s cause and recommended the sales tax waiver . dpc , which was asked by the  union ministry of oil and petroleum to procure naphtha within the country in  view of excess availability , in its presentation to the state government and  to mseb , had made it clear that it would be left with no alternative but to  pass on the additional burden on the mseb which would be ultimately passed on  to its consumers . dpc had also told the state government that it had not paid  sales tax on the procurement of naphtha from glencore in the calender year  2000 .  sources from the state energy department and mseb have stressed on the need  for such a waiver while expressing their inability to bear additional burden .  they have suggested that the state should reciprocate by offering a sales tax  exemption to dpc because the ioc , at the behest of the centre , has tried to  match the international landing price of naphtha during the recently signed  memorandum of agreement with dpc . "" if the state finance department sticks to  its views , it may hurt the state as a whole , "" sources from the state energy  department and mseb said . dpc will procure naphtha at rs 11 , 050 per ton from  ioc during the calender year 2001 as compared to the rs 10 , 050 per tonne  price quoted by glencore . the naphtha price comprises $ 175 per tonne free on  board ( fob ) , 21 . 8 per cent of customs duty , 5 . 4 per cent of sales tax and  $ 18 . 87 of premium .  dpc senior vice president mukesh tyagi reiterated that the company has  already made an appeal to the state government for the sales tax waiver on  naphtha in the larger interest of the consumers . "" sales tax is a pass through  and mseb , which will have to bear the additional burden , will pass it on the  consumers , "" he added .  - - - - - - -  centre yet to receive proposal on enron  thursday jan 18 2001  centre on wednesday said that it had not recevied any proposal from  maharashtra government seeking help to solve the tangle with the enron  promoted dhabol power project relating to cost and surplus power . asked about  the reports that maharashtra government was sending a proposal that centre  buy surplus power from dhabol power company through power trading  corporation , power minister suresh prabhu said "" we have not received any  proposal . "" "" we are carefully watching the situation and will await a concrete  proposal before intervening in this matter , "" parbhu said on the sidelines of  greentech environment excellence awards ceremony , here . asked whether there  was any possibility of the government asking the power trading corporation to  buy power from the dhabol power corporation , prabhu replied "" what will the  ptc do with the power ? ""  prabhu had earlier asked the state government to study the matter before  approaching the centre for payment of dues . mseb had earlier declined to pick  up its 15 per cent stake in phase ii of the 1444 mw project . the enron issue  has been hanging fire with the maharashtra state electricity board unable to  clear the dues of dpc as a result of the skyrocketing prices of naphtha  infact mseb has asked dpc to backdown completely leading to a situation where  dpc has stopped production at the facility from the begining of the  month . state government has stepped in with support to the tune of rs 114  crore to enable mseb to clear the dues for october . mseb dues to dpc for  november and december amount to over rs 300 crores .",0
6,"Subject: 4 color printing special  request additional information now ! click here  click here for a printable version of our order form ( pdf format )  phone : ( 626 ) 338 - 8090 fax : ( 626 ) 338 - 8102 e - mail : ramsey @ goldengraphix . com  request additional information now ! click here  click here for a printable version of our order form ( pdf format )  golden graphix & printing 5110 azusa canyon rd . irwindale , ca 91706 this e - mail message is an advertisement and / or solicitation . ",1
7,"Subject: re : powerisk 2001 - your invitation  angelika ,  thanks for the invitation .  yes , i shall be glad to attend and repeat the same presentation .  vince  angelika staude on 04 / 09 / 2001 04 : 19 : 08 am  to : "" ' vince . j . kaminski @ enron . com ' ""  cc :  subject : powerisk 2001 - your invitation  ?  powerisk 2001  the global premier forumforenergy trading & risk management  ? 6 th - 9 th november 2001 , paris  ?  dear mr kaminski ,  ?  i am responsible for the programme of this year ' s powerisk conference in  paris . helyette geman has informed me that she has contacted you concerning  the workshop and that you are happy to do it with her again this year -  brilliant !  ?  i would like to know if you are also interested in delivering a paper again .  the audience in previous years greatly appreciated your contribution , and i  would me more than happy if you could join us again .  ?  to give you an idea of the programme so far , these are the ( "" technical "" )  topics that are already covered :  ?  chris strickland : forward curve models with jumps for the pricing of exotic  energy contracts  multi - factor forward curve models for the valuation of energy contracts  adding jumps  applying the models to exotic energy options  extensions to multiple energy contracts  les clewlow : valuation and risk management of virtual power stations and  gas supply agreements  structures of gas supply agreements ( gsa )  relationships between physical and virtual power stations ( pps / vps )  valuation methods for gsa ' s and vps ' s  risk analysis of gsa ' s and vps ' s  derek bunn , professor of decision sciences , london business school :  analysing the impact of neta on market efficiency & volatility in the uk  energy market  chris harris , director of market development . operations and engineering ,  innogy : applying cutting - edge portfolio management theory in order to  optimise your risk exposure  establishing and valuing the key factors using a bottom up approach  looking at the interconnection between key factors  the treatment of the risk of infrequent but high impact events  peter nance , principal , teknecon : combining power systems and monte carlo  simulations for effective pricing  dan mansfeld , head of risk control , vattenfall : assessing the benefits  and risks of using derivatives as part of your risk management strategy  spyros maragos : analysing new approaches to building forward curves from  available market data  tamara weinert , credit and contracts manager , mirant energy : successfully  measuring limit  setting ; risk reducing structures  importance of credit in the organizational structure : reporting ; dependence ;  structure of credit department  brett humphreys : examining cutting - edge credit exposure mitigation tools :  combining counterparty and portfolio credit var techniques  helyette geman : pricing of exotic energy derivatives and structured contracts  please let me know if you are interested in joining the powerisk 2001  speaker panel , and which topic you would like to cover . i think that  something along the lines of last year ' s talk ( state - of - the - art volatility  and correlation estimation techniques for multiple energy portfolios ) would  be brilliant again , but please feel free to chose something else that has  not been covered yet .  ?  i look forward to hearing from you ,  ?  kind regards ,  angelika staude  ?  director ? powerisk 2001  ?  tel : 0044 207 915 5675  fax : 0044 207 915 5101  ?  ?  ps : for your information , please find enclosed a list of confirmed speakers  for powerisk 2001 .  - confirmed speakers . doc",0
8,"Subject: do not have money , get software cds from here !  software compatibility . . . . ain ' t it great ?  grow old along with me the best is yet to be .  all tradgedies are finish ' d by death . all comedies are ended by marriage .",1
9,"Subject: re : resco database and customer capture  steve ,  krishna from my group . krishna can also advise you on resco participation .  vince  steven r meyers @ ees  04 / 11 / 2000 04 : 51 pm  to : vince j kaminski / hou / ect @ ect  cc :  subject : re : resco database and customer capture  vince ,  i was not going to be involved directly in the meeting . who from either your  group or from resco marketing should participate ?  thanks ,  steve  vince j kaminski @ ect  04 / 11 / 2000 08 : 27 am  to : steven r meyers / hou / ees @ ees  cc : pinnamaneni krishnarao / hou / ect @ ect , vince j kaminski / hou / ect @ ect  subject : re : resco database and customer capture  steve ,  it makes sense to meet with abacus . retail marketing is very data intensive .  if you set up a meeting with them ,  please , let me know .  vince  steven r meyers @ ees  04 / 11 / 2000 08 : 17 am  to : timothy edward vail / hou / ees @ ees  cc : vince j kaminski / hou / ect @ ect  subject : resco database and customer capture  tim ,  i hope things are going well in resco . i think somebody from resco ( or  research ) may be interested in the email i received below from brad davids .  brad is now working at abacus who works with residential customer patterns as  well as predictive modelling . he ' s going to be here the 25 and 26 of this  month . i ' m not sure who is responsible for resco marketing , but i think they  would find this interesting . who should i send this to ? please let me know  if anybody in resco may have any interest .  thanks ,  steve  ps : vince , simply an fyi since they do focus on modelling and research .  - - - - - - - - - - - - - - - - - - - - - - forwarded by steven r meyers / hou / ees on 04 / 11 / 2000  08 : 14 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  bradley davids on 04 / 10 / 2000 08 : 35 : 32 pm  to : "" ' steven . r . meyers @ enron . com ' ""  cc :  subject : re : possible meeting ?  steve :  i ' ll see if i can get in on the 25 th . . . will let you know , but i think  it ' ll work .  just to give you a very brief overview so you can think about who might be  interested , abacus has the largest transactional database of consumer buying  behavior in the world ( 89 million us households , 3 billion + purchases ) ,  along with sophisticated modeling capabilities to help predict customer  response to various offers at the household level . given the critical need  to reduce customer acquisition costs in retail energy markets , we believe  that our data and modeling can help energy retailers target their direct  marketing efforts toward the residential customers most likely to respond to  whatever the offer is - - improving the efficiency of mailings and other  promotional campaigns ( so there is an efficiency angle , see ! )  because our data allow the modeling of future buying behavior based on  actual purchases , our results tend to be significantly more predictive than  demographic - based models . so far , the the response from utilities and "" new  entrants "" i ' ve been talking to so far has been quite positive , and we have  some tests of our data underway , but we ' re interested in talking to as many  players in the market as possible as we develop specific products to meet  utility needs .  i can provide more background if desired to whoever might be interested , but  i guess the key immediate question is whether it might be worthwhile to  arrange a short meeting sometime on the 25 th of april with whoever at enron  might have interest in hearing what we ' re up to , and ( most importantly )  listening to what your data needs might be as you enter new markets .  thanks very much for any help . . . i look forward to catching up and  hearing how things are going for you .  regards ,  brad davids  303 - 410 - 5531  - - - - - original message - - - - -  from : steven . r . meyers @ enron . com [ mailto : steven . r . meyers @ enron . com ]  sent : monday , april 10 , 2000 12 : 13 pm  to : brad . davids @ abacus - direct . com  subject : re : possible meeting ?  it ' d be great to meet on the 25 th in the afternoon . i have a flight in the  evening . i ' m interested in hearing about life at abacus . i too have heard  that enron is getting back into the residential market . what type of  database do you have ? i might be able to find somebody for you to talk  with here .  - steve  bradley davids on 04 / 10 / 2000 12 : 04 : 00 pm  to : "" steve meyers ( e - mail ) ""  cc :  subject : possible meeting ?  steve :  sorry we ' ve been unable to hook up . . . i can probably get down there on  the 25 th , if you ' re going to be in town that afternoon ? would love to catch  up - - both on how things are going with ees and tell you about my new life .  also , i ' m hearing rumors that enron is about to get back into the  residential market in a big way - - you know anything about that ? anybody i  should talk to there about my huge database of consumer buying behavior ?  thanks - - looking forward to connecting . . . i ' ll be travelling most of this  week , but you can leave a vm and let me know when i can call you , or try me  on the cell at 303 - 886 - 3458 .  best ,  brad davids  bradley j . davids  associate vice president , utilities  abacus direct , a division of doubleclick , inc .  11101 west 120 th avenue  broomfield , co 80021 usa  e - mail brad . davids @ abacus - direct . com  tel 303 . 410 . 5531  fax 303 . 410 . 5300  www . doubleclick . net  www . abacus - direct . com  ( see attached file : c . dtf )",0
